Transaction Date,Type,Market,Amount,Rate inc. fee,Rate ex. fee,Fee,Fee AUD (inc GST),GST AUD,Total AUD,Total (inc GST)
16/12/2022 17:36,Sell,AAVE/LINK,0.13789714,9.096790471,9.188677243,0.012670923122014122 LINK,0.12,0.01,12.32,1.2544213890793974 LINK
2/06/2022 0:15,Sell,USDT/AAVE,150,0.008252648,0.008336008,0.012504011521354608 AAVE,2.1,0.19,207.6,1.2378971406141002 AAVE
2/06/2022 0:12,Sell,USDT/SHIB,50,82257.28327,83088.16492,41544.08246036433 SHIB,0.7,0.06,69.12,4112864.1635760474 SHIB
17/05/2022 11:56,Sell,DOGE/LUNC,20,441.7135533,446.1753064,89.23506127786277 LUNC,0.03,0,2.53,8834.271066508421 LUNC
12/05/2022 23:42,Sell,DOGE/LUNC,87.9822265,5.646055207,5.703086068,5.017702101912562 LUNC,0.1,0.01,9.61,496.7525080893456 LUNC
12/05/2022 18:20,Buy,DOGE/AUD,187.9822265,0.116128,0.114978218,0.21613861386138566 AUD,0.22,0.02,21.83,21.83 AUD
12/05/2022 18:19,Sell,LUNC/AUD,128.3914623,0.17,0.171717172,0.2204701877878783 AUD,0.22,0.02,21.83,21.826548591 AUD
12/05/2022 14:20,Buy,LUNC/AUD,84.7457627,0.59,0.584158416,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
12/05/2022 11:20,Buy,LUNC/AUD,30.48780487,1.64,1.623762377,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
12/05/2022 1:33,Buy,LUNC/AUD,13.15789473,3.8,3.76237624,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
1/03/2022 22:24,Buy,BTTC/AUD,17605633.8,0.00000284,2.81188E-06,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
16/11/2021 0:57,Sell,BTTC/DOT,101,7.98282E-05,8.06346E-05,0.00008144094135400029 DOT,0.01,0,0.53,0.008062653194046 DOT
16/11/2021 0:57,Sell,DOGE/DOT,1,0.005364329,0.005418514,0.00005418514396956543 DOT,0,0,0.35,0.005364329252987 DOT
16/11/2021 0:56,Sell,OMG/DOT,1,0.241701184,0.24414261,0.0024414260993765036 DOT,0.16,0.01,15.77,0.241701183838273 DOT
16/11/2021 0:55,Sell,SUSHI/DOT,19.00295797,0.222384317,0.224630623,0.04268646296261469 DOT,2.81,0.26,277.99,4.225959833298854 DOT
16/11/2021 0:54,Sell,RUNE/DOT,6.86606615,0.263607932,0.266270639,0.018282318194656755 DOT,1.2,0.11,119.13,1.80994950127102 DOT
16/11/2021 0:53,Sell,DIA/DOT,275,0.0397125,0.040113636,0.11031250034892182 DOT,7.27,0.66,719.67,10.920937534543299 DOT
6/11/2021 10:36,Sell,SHIB/AUD,10000000,0.00008495,8.58081E-05,8.580808080808083 AUD,8.58,0.78,849.5,849.5 AUD
15/10/2021 21:44,Buy,RUNE/AUD,46.86606615,10.6687,10.56306931,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
8/10/2021 7:36,Sell,SHIB/SUSHI,31506540.17,2.19012E-06,2.21224E-06,0.6969995754441953 SUSHI,10.83,0.98,1071.85,69.0029579689748 SUSHI
28/07/2021 9:34,Sell,DIA/SHIB,2.04253766,200268.561,202291.4758,4131.879575657018 SHIB,0.04,0,3.57,409056.0779900471 SHIB
26/07/2021 12:26,Buy,DIA/AUD,277.0425377,1.804777,1.786907921,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
25/07/2021 14:05,Sell,UNI/MATIC,0.5,18.54896855,18.73633187,0.09368165936800388 MATIC,0.12,0.01,12.12,9.274484277432288 MATIC
25/07/2021 14:04,Sell,DOT/MATIC,0.4,13.91798265,14.05856833,0.05623427331887232 MATIC,0.07,0.01,7.21,5.567193058568329 MATIC
25/07/2021 14:03,Buy,MATIC/AUD,37.90040833,1.319247,1.306185149,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
13/05/2021 8:51,Sell,KMD/SHIB,150.098533,126910.6211,128192.5466,192415.1318354085 SHIB,5.37,0.49,531.55,19049098.051705476 SHIB
11/05/2021 13:00,Sell,MIOTA/SHIB,216.7991599,52186.82578,52713.96543,114283.43417658843 SHIB,5.49,0.5,543.73,11314059.983482283 SHIB
11/05/2021 12:55,Sell,XTZ/SHIB,66.58055581,161699.9698,163333.3028,108748.220827071 SHIB,5.1,0.46,505.35,10766073.861880068 SHIB
11/05/2021 12:54,Sell,BSV/SHIB,1.1,9062047.447,9153583.28,100689.41607647017 SHIB,4.72,0.43,467.09,9968252.191570502 SHIB
23/04/2021 11:53,Buy,MIOTA/AUD,216.7991599,2.306282,2.283447525,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
22/04/2021 23:01,Buy,XTZ/AUD,66.58055581,7.5097,7.435346535,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
7/04/2021 23:04,Buy,ETH/AUD,2.31813972,2710.57,2683.732681,62.21267326732686 AUD,62.21,5.66,6283.48,6283.48 AUD
7/04/2021 21:35,Sell,AION/AUD,2498.99979,0.481224,0.486084848,12.147259342858206 AUD,12.15,1.1,1202.58,1202.5786749429599 AUD
7/04/2021 21:35,Sell,CRV/AUD,450,3.6448,3.681616162,16.567272727272666 AUD,16.57,1.51,1640.16,1640.16 AUD
7/04/2021 21:34,Sell,SXP/AUD,500,5.0056,5.056161616,25.28080808080813 AUD,25.28,2.3,2502.8,2502.8 AUD
7/04/2021 21:34,Sell,AXS/AUD,109.3146065,8.580174,8.666842424,9.474124693769 AUD,9.47,0.86,937.94,937.9383446831345 AUD
23/03/2021 11:51,Buy,AXS/AUD,109.3146065,5.488745,5.43440099,5.940594059405953 AUD,5.94,0.54,600,600.00 AUD
19/03/2021 11:41,Sell,UNI/ETH,0.44700695,0.016253728,0.016417908,0.00007338918763017451 ETH,0.17,0.02,17.02,0.007265529575387281 ETH
19/03/2021 11:40,Sell,BSV/ETH,0.02,0.113467832,0.114613972,0.00002292279438116532 ETH,0.05,0,5.26,0.00226935664373536 ETH
19/03/2021 11:39,Sell,TRX/ETH,18.5918197,2.86939E-05,2.89837E-05,0.000005388603699628316 ETH,0.01,0,1.25,0.0005334717662632014 ETH
19/03/2021 11:39,Sell,EOS/ETH,0.41765042,0.002257479,0.002280282,0.000009523608651439684 ETH,0.02,0,2.18,0.0009428372564925276 ETH
15/03/2021 6:10,Sell,LIT/UNI,31.71785638,0.345137036,0.348623269,0.11057582775857178 UNI,4.62,0.42,456.96,10.947006948098537 UNI
14/03/2021 21:43,Sell,XVS/LIT,7.14662499,4.43815877,4.482988657,0.3203823876267755 LIT,4.45,0.4,440.14,31.717856375050435 LIT
13/03/2021 22:12,Sell,SHR/XVS,10076.03093,0.00070927,0.000716434,0.07218813122808854 XVS,5.1,0.46,504.87,7.146624991580715 XVS
11/03/2021 11:02,Sell,DOT/SHR,0.03007717,961.4724007,971.1842431,0.292104735815343 SHR,0.01,0,1.45,28.9183688457191 SHR
11/03/2021 11:02,Sell,SXP/DOT,9,0.080343225,0.081154773,0.007303929574926982 DOT,0.37,0.03,36.19,0.7230890279177731 DOT
11/03/2021 11:00,Sell,SXP/SHR,1,79.88580536,80.69273269,0.8069273268928754 SHR,0.04,0,4.03,79.885805362394 SHR
11/03/2021 10:59,Sell,SXP/SHR,2,79.63330534,80.43768216,1.6087536432412435 SHR,0.08,0.01,8.05,159.26661068088328 SHR
11/03/2021 10:58,Buy,SHR/AUD,9807.96014,0.050979,0.050474257,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
9/03/2021 17:31,Sell,CHR/BTC,21220,3.2373E-06,0.00000327,0.0006938940000000005 BTC,49.85,4.53,4935.36,0.068695506 BTC
9/03/2021 6:01,Sell,BSV/DOT,0.00928721,5.232459766,5.285312895,0.000490858107748092 DOT,0.02,0,2.21,0.0485949526670614 DOT
8/03/2021 22:44,Sell,OCEAN/DOT,730.343067,0.040608852,0.041019042,0.29957972918547426 DOT,13.69,1.24,1355.39,29.658393189362055 DOT
19/02/2021 23:51,Sell,BTC/EOS,0.00014566,9732.599292,9830.908376,0.014319701140385499 EOS,0.1,0.01,9.72,1.4176504128981522 EOS
19/02/2021 20:15,Sell,SXP/TRX,0.54815633,52.1599736,52.68684202,0.2888062595922243 TRX,0.02,0,2.33,28.591819699630346 TRX
17/02/2021 8:49,Sell,ETH/SXP,0.01707465,789.965593,797.9450434,0.13624632335939424 SXP,0.39,0.04,38.33,13.488386012580063 SXP
17/02/2021 8:48,Sell,CHR/SXP,7.20095471,0.02526881,0.02552405,0.0018379752901235835 SXP,0.01,0,0.52,0.1819595537222356 SXP
17/02/2021 8:45,Sell,EOS/SXP,49.98323647,2.037352973,2.057932296,1.028621165750181 SXP,2.91,0.26,288.27,101.83349540926721 SXP
17/02/2021 8:44,Sell,BTC/SXP,0.00015929,21982.15943,22204.20144,0.03536907248000576 SXP,0.1,0.01,9.94,3.5015381755205817 SXP
17/02/2021 8:44,Sell,ZEC/SXP,1.07116458,68.65684187,69.35034532,0.7428563351740536 SXP,2.1,0.19,208,73.54277718223076 SXP
12/02/2021 23:15,Sell,CTK/ETH,431.6455,0.001267417,0.001280219,0.005526006559278707 ETH,13.16,1.2,1302.89,0.5470746493685873 ETH
12/02/2021 14:16,Sell,CTK/FTM,0.09090737,11.05798529,11.16968211,0.010154064246920669 FTM,0,0,0.24,1.0052523604451409 FTM
9/02/2021 20:05,Sell,GVT/CTK,121.1653,1.805488531,1.823725789,2.2097228234001136 CTK,5.17,0.47,511.87,218.7625595166111 CTK
9/02/2021 19:57,Buy,CTK/AUD,212.9738479,2.3478,2.324554456,4.950693069306908 AUD,4.95,0.45,500.02,500.02 AUD
8/02/2021 22:17,Sell,BAND/EOS,14.5748717,3.429411765,3.464052288,0.504881176535946 EOS,2.32,0.21,229.99,49.98323647705883 EOS
3/02/2021 10:53,Sell,ROSE/BAND,2838.966494,0.005133865,0.005185723,0.14722092623268423 BAND,2.27,0.21,224.96,14.574871697035661 BAND
29/01/2021 12:49,Sell,CRV/FTM,50.11951886,14.87695545,15.02722772,7.531574232649973 FTM,1.36,0.12,135.03,745.62584903235 FTM
29/01/2021 12:43,Sell,ETH/FTM,0.01798965,9875.2825,9975.032828,1.7944734931931805 FTM,0.32,0.03,31.45,177.652875826125 FTM
29/01/2021 12:24,Sell,SXP/FTM,7.14078275,8.507870394,8.593808479,0.6136651934520074 FTM,0.11,0.01,11.17,60.7528541517488 FTM
27/01/2021 8:39,Buy,ROSE/AUD,2838.966494,0.081896,0.081085149,2.3019801980198054 AUD,2.3,0.21,232.5,232.50 AUD
27/01/2021 0:48,Sell,UNI/AUD,14.91482297,15.59,15.74747475,2.348707980831307 AUD,2.35,0.21,232.52,232.52209010229998 AUD
11/01/2021 0:45,Buy,ZEC/AUD,1.07116458,127.17,125.9108914,1.3487128712871197 AUD,1.35,0.12,136.22,136.22 AUD
10/01/2021 23:07,Sell,ONE/AUD,16074.58608,0.008474,0.008559596,1.375919620574109 AUD,1.38,0.13,136.22,136.2160424368356 AUD
9/01/2021 21:20,Sell,WNXM/BSV,8.71736688,0.129544531,0.130853062,0.011406941446121976 BSV,3.25,0.3,322.22,1.1292872031660643 BSV
7/01/2021 15:24,Buy,CHR/AUD,11152.62365,0.035866,0.035510891,3.9603960396039497 AUD,3.96,0.36,400,400.00 AUD
2/01/2021 23:37,Sell,RVN/OCEAN,4514.265078,0.035264987,0.035621199,1.6080353447682967 OCEAN,0.74,0.07,72.97,159.19549913206038 OCEAN
31/12/2020 11:51,Sell,WRX/OCEAN,1735.312747,0.19495935,0.196928636,3.417327721654374 OCEAN,1.44,0.13,143.02,338.31544444378386 OCEAN
