Transaction Date,Type,Coin,Status,Fee,Amount,Address,Txid,Aud
1/12/2022 11:35,Receive,VTHO,Complete,,0.00978243,,,1.519E-05
29/11/2022 11:16,Receive,ONG,Complete,,0.01117687,,,0.004393135
31/10/2022 13:34,Receive,ONG,Complete,,0.0110411,,,0.00565153
31/10/2022 12:19,Receive,VTHO,Complete,,0.00974824,,,2.11336E-05
26/09/2022 22:01,Receive,ONG,Complete,,0.01115571,,,0.005746361
26/09/2022 13:23,Receive,VTHO,Complete,,0.00968177,,,2.15428E-05
30/08/2022 12:07,Receive,ONG,Complete,,0.01112055,,,0.006078903
30/08/2022 11:16,Receive,VTHO,Complete,,0.00970427,,,2.3375E-05
29/07/2022 12:11,Receive,ONG,Complete,,0.01054595,,,0.006280232
29/07/2022 11:05,Receive,VTHO,Complete,,0.00970847,,,2.91693E-05
1/07/2022 11:02,Receive,ONG,Complete,,0.00987502,,,0.005334529
1/07/2022 10:22,Receive,VTHO,Complete,,0.00949681,,,2.10077E-05
1/06/2022 23:53,Receive,USDT,Complete,,200,0xd952beecffc6bc1228e83d0457d25d5a39555abf,0xf7b86858aad6b35e2b8284cc873dd0163a948e570c3fb396b0c53e2239a3fcb0,275.42405
30/05/2022 16:22,Receive,LUNA2,Complete,,0.04285159,,,0.34
30/05/2022 10:26,Receive,VTHO,Complete,,0.0092754,,,2.55259E-05
29/05/2022 14:15,Receive,ONG,Complete,,0.00820848,,,0.004718257
28/04/2022 13:20,Receive,ONG,Complete,,0.00818473,,,0.008615195
28/04/2022 12:17,Receive,VTHO,Complete,,0.00918842,,,4.76953E-05
31/03/2022 9:10,Receive,VTHO,Complete,,0.00905963,,,7.47043E-05
30/03/2022 17:51,Receive,SOLO,Complete,,0.00445634,,,0
29/03/2022 10:05,Receive,ONG,Complete,,0.00906363,,,0.010642585
2/03/2022 12:38,Receive,VTHO,Complete,,0.00881919,,,4.34988E-05
28/02/2022 11:16,Receive,ONG,Complete,,0.00842314,,,0.008966778
31/01/2022 21:12,Receive,ONG,Complete,,0.00859626,,,0.007683967
31/01/2022 20:18,Receive,VTHO,Complete,,0.00861085,,,4.20683E-05
31/12/2021 9:18,Receive,ONG,Complete,,0.00986493,,,0.010659987
31/12/2021 8:41,Receive,VTHO,Complete,,0.00853731,,,7.73968E-05
18/11/2021 12:24,Receive,ONG,Complete,,0.00975355,,,0.016556238
18/11/2021 11:39,Receive,VTHO,Complete,,0.00862339,,,0.00011241
29/10/2021 13:11,Receive,ONG,Complete,,0.01033832,,,0.01625398
29/10/2021 11:37,Receive,VTHO,Complete,,0.00867914,,,0.000111386
7/10/2021 16:05,Receive,SGB,Complete,,0.1511,,,0.123902
23/09/2021 12:48,Receive,ONG,Complete,,0.00943986,,,0.014664842
21/09/2021 16:29,Receive,VTHO,Complete,,0.00872046,,,9.75042E-05
26/08/2021 10:38,Receive,VTHO,Complete,,0.00871006,,,0.000148819
26/08/2021 10:00,Receive,ONG,Complete,,0.00911898,,,0.015226641
25/07/2021 14:09,Send,MATIC,Complete,12,-52.74208566,0x57a0DD27C4af7c87d142Bb9FC8De83fe929F1AeB,0xcb2301bcb8858ce4affa738ef4b4cc9f787431e0b3d3f124f768f09fb0c95754,68.35330236
23/07/2021 14:17,Receive,ONG,Complete,,0.00924595,,,0.008619631
23/07/2021 11:51,Receive,VTHO,Complete,,0.00869855,,,6.10269E-05
28/06/2021 14:06,Receive,VTHO,Complete,,0.00757075,,,6.2953E-05
28/06/2021 10:49,Receive,ONG,Complete,,0.00542992,,,0.004036159
15/05/2021 11:44,Receive,ONG,Complete,,0.00546591,,,0.006051487
15/05/2021 11:17,Receive,VTHO,Complete,,0.00783326,,,0.000147168
6/05/2021 22:33,Receive,KMD,Complete,,150.098533,,d3364005d1dd7a3904beee7b90d13071c12834ce07794ce952676f5d773dc361,666.7964442
4/05/2021 10:11,Receive,ONG,Complete,,0.00469705,,,0.006143879
26/04/2021 15:48,Receive,VTHO,Complete,,0.00793959,,,0.000175853
