trade_id,order_id,timestamp,exchange,user_id,pair,side,order_type,maker_taker,price,amount,value_quote,fee_rate,fee_amount,fee_currency,filled_percent,is_margin,wallet_before_quote,wallet_after_quote,note
t00000001,o1000000000,27:41.2,Bitstamp,user_02994,ADA/USDT,buy,market,taker,3654.5416,532.296553,1945299.897,0.00094434,1837.024504,USDT,100,FALSE,9654.5,-1937482.42,
t00000002,o1000000001,33:41.2,Gemini,user_01922,ADA/USDT,sell,market,taker,31117.3521,103.2739762,3213612.681,0.00245939,7903.526891,USDT,100,FALSE,3815.6,-3217700.61,
t00000003,o1000000002,20:41.2,Kraken,user_04713,ADA/USDT,buy,market,maker,49058.9012,172.5321517,8464237.785,0.000298,2522.34286,USDT,100,FALSE,1882.4,-8464877.73,
t00000004,o1000000003,05:41.2,Gemini,user_00851,BNB/USDT,sell,market,taker,9505.7874,567.9786176,5399083.986,0.00099471,5370.522832,USDT,100,FALSE,5741.35,-5398713.16,
t00000005,o1000000004,39:41.2,Gemini,user_00681,ADA/USDT,buy,limit,taker,39629.8595,296.3646499,11744889.44,0.00123896,14551.44822,USDT,100,FALSE,1513.89,-11757927,
t00000006,o1000000005,04:41.2,Coinbase Pro,user_01662,XRP/USDT,buy,market,maker,45394.9857,938.3163455,42594857.09,0.00025643,10922.5992,USDT,100,FALSE,1994.89,-42603784.79,
t00000007,o1000000006,16:41.2,Kraken,user_01871,BNB/USDT,buy,limit,taker,47185.1078,818.7420421,38632431.52,0.00118909,45937.43799,USDT,100,FALSE,2974.5,-38675394.45,
t00000008,o1000000007,08:41.2,Kraken,user_03869,XRP/USDT,buy,market,maker,48006.8002,983.5673708,47217922.26,0.0003521,16625.43043,USDT,100,FALSE,5179.15,-47229368.54,
t00000009,o1000000008,04:41.2,Kraken,user_04589,BNB/USDT,sell,market,maker,26073.2212,259.6782422,6770648.251,0.000857,5802.445551,USDT,100,FALSE,4899.26,-6771551.44,
t00000010,o1000000009,04:41.2,Gemini,user_00271,DOT/USDT,buy,limit,maker,48865.4067,969.7239356,47385954.5,0.0006357,30123.25127,USDT,100,FALSE,8197.23,-47407880.52,
t00000011,o1000000010,58:41.2,Bitstamp,user_00304,ETH/USDT,sell,market,maker,37865.6317,431.2395575,16329158.26,0.00026229,4282.974919,USDT,100,FALSE,7655.27,-16325785.96,
t00000012,o1000000011,21:41.2,Kraken,user_04146,BTC/USDT,buy,limit,taker,8083.991,347.5253201,2809391.56,0.00246649,6929.336189,USDT,100,FALSE,4836.86,-2811484.04,
t00000013,o1000000012,38:41.2,Gemini,user_02242,ADA/USDT,buy,limit,taker,23845.2669,50.35902347,1200824.355,0.00183343,2201.627398,USDT,100,FALSE,4003.34,-1199022.64,
t00000014,o1000000013,03:41.2,Coinbase Pro,user_03109,DOT/USDT,buy,market,taker,35916.6996,52.77473021,1895494.131,0.00144909,2746.741591,USDT,100,FALSE,3848.22,-1894392.65,
t00000015,o1000000014,16:41.2,Bitstamp,user_01247,ETH/USDT,sell,limit,maker,12367.3921,692.0143358,8558412.63,0.00033505,2867.496152,USDT,100,FALSE,7965.96,-8553314.17,
t00000016,o1000000015,21:41.2,Coinbase Pro,user_04262,BTC/USDT,buy,limit,taker,32030.9389,457.9344151,14668069.27,0.00247512,36305.23162,USDT,100,FALSE,1468.65,-14702905.85,
t00000017,o1000000016,39:41.2,Bitstamp,user_04867,LTC/USDT,sell,market,taker,33330.1907,226.5293608,7550266.795,0.00217753,16440.93245,USDT,100,FALSE,1115.39,-7565592.34,
t00000018,o1000000017,53:41.2,Gemini,user_03686,SOL/USDT,sell,limit,maker,8135.4058,613.9741666,4994928.996,0.00060942,3044.009629,USDT,100,FALSE,8159.9,-4989813.11,
t00000019,o1000000018,38:41.2,Binance,user_03457,XRP/USDT,sell,market,maker,28254.4831,252.8655897,7144586.53,0.00081555,5826.767544,USDT,100,FALSE,5294.32,-7145118.98,
t00000020,o1000000019,41:41.2,Bitstamp,user_01788,LTC/USDT,sell,market,taker,38581.4597,577.635978,22286039.21,0.00080193,17871.84342,USDT,100,FALSE,2177.93,-22301733.12,
t00000021,o1000000020,07:41.2,Coinbase Pro,user_00953,BNB/USDT,sell,market,maker,24945.0338,359.2151549,8960634.18,0.00092736,8309.733714,USDT,100,FALSE,3120.09,-8965823.82,
t00000022,o1000000021,36:41.2,Gemini,user_02326,BTC/USDT,sell,market,maker,605.6498,823.5539911,498785.31,0.0008557,426.8105898,USDT,100,FALSE,9392.54,-489819.58,
t00000023,o1000000022,01:41.2,Bitstamp,user_03099,LTC/USDT,sell,limit,maker,452.4189,820.6979538,371299.2655,0.00091055,338.0865462,USDT,100,FALSE,8735.53,-362901.82,
t00000024,o1000000023,13:41.2,Binance,user_04326,SOL/USDT,sell,market,maker,17851.7887,477.3556246,8521651.745,0.00035938,3062.511204,USDT,100,FALSE,7388.07,-8517326.19,
t00000025,o1000000024,42:41.2,Binance,user_04001,DOT/USDT,sell,market,taker,46309.7403,350.8256011,16246642.48,0.0022173,36023.68037,USDT,100,FALSE,5340.03,-16277326.13,
t00000026,o1000000025,54:41.2,Kraken,user_03215,BTC/USDT,buy,limit,maker,11434.2246,362.566171,4145663.031,0.00043117,1787.485529,USDT,100,FALSE,5682.91,-4141767.61,
t00000027,o1000000026,30:41.2,Kraken,user_00435,LTC/USDT,buy,market,maker,31718.3673,805.7164685,25556010.89,0.00050164,12819.9173,USDT,100,FALSE,9777.2,-25559053.61,
t00000028,o1000000027,33:41.2,Coinbase Pro,user_04864,XRP/USDT,buy,market,maker,11104.1825,328.186201,3644239.47,0.00051466,1875.544286,USDT,100,FALSE,9691.93,-3636423.08,
t00000029,o1000000028,36:41.2,Bitstamp,user_01916,XRP/USDT,buy,limit,maker,16083.8386,209.0672831,3362604.438,0.00063564,2137.405885,USDT,100,FALSE,2937.42,-3361804.42,
t00000030,o1000000029,03:41.2,Bitstamp,user_01529,ETH/USDT,buy,limit,maker,42402.1805,84.69749499,3591358.47,0.0003279,1177.606442,USDT,100,FALSE,8299.94,-3584236.14,
t00000031,o1000000030,22:41.2,Kraken,user_01871,LTC/USDT,sell,limit,maker,36443.2077,466.698454,17007988.69,0.000753,12807.01548,USDT,100,FALSE,2775.18,-17018020.53,
