*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
200,Services,Revenue,GST on Income,Service Income,No,No,No,
201,Product Sales,Revenue,GST on Income,Product Sales,No,No,No,
260,Other Revenue,Revenue,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
270,Interest Income,Revenue,GST Free Income,Interest income,No,No,No,
309,Project Purchases,Direct Costs,GST on Expenses,Stock purchased to be resold to a job,No,No,No,
310,Cost of Goods Sold,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
311,Donation,Expense,GST Free Expenses,Donation,No,No,No,
313,Subcontractors,Direct Costs,GST on Expenses,Subcontractors,No,No,No,
401,Marketing & Advertisement,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,Yes,No,
402,Staff recruitment,Expense,GST on Expenses,Staff recruitment,No,No,No,
403,Assets Immediate Write off,Expense,GST on Expenses,Assets Less than $20K,No,Yes,No,
404,Bank Fees,Expense,GST Free Expenses,Fees charged by your bank for transactions regarding your bank account(s).,No,No,No,
405,Staff Amenities,Expense,GST on Expenses,Staff Amenities,No,Yes,No,
406,Entertainment,Expense,GST Free Expenses,Entertainment,No,No,No,
408,Cleaning,Expense,GST on Expenses,Expenses incurred for cleaning business property.,No,No,No,
411,Client Gifts,Expense,GST on Expenses,Client Gifts,No,No,No,
412,Consulting & Accounting,Expense,GST on Expenses,Expenses related to paying consultants,No,No,No,
416,Depreciation,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
418,Filing Fee,Expense,GST Free Expenses,Filing Fee,No,No,No,
420,Formation Costs Write Off,Expense,BAS Excluded,Formation Costs Write Off,No,No,No,
421,Client Sales Meeting,Expense,GST on Expenses,Expenses incurred by sales team during client meetings,Yes,Yes,No,
422,Staff Training,Expense,GST on Expenses,Staff Training,No,No,No,
423,Business Development,Expense,GST on Expenses,Business Development,No,No,No,
425,Freight & Courier,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,Yes,No,
433,Insurance,Expense,GST on Expenses,Expenses incurred for insuring the business' assets,No,No,No,
437,Interest Expense,Expense,GST Free Expenses,"Any interest expenses paid to ATO, business bank accounts or credit card accounts.",No,No,No,
441,Legal expenses,Expense,GST on Expenses,Expenses incurred on any legal matters,No,No,No,
445,"Light, Power, Heating",Expense,GST on Expenses,"Expenses incurred for lighting, powering or heating the premises",No,No,No,
447,Materials & Consumables,Expense,GST on Expenses,Materials & Consumables,No,No,No,
449,MV - Fuel,Expense,GST on Expenses,Expenses incurred on the running of company motor vehicles,No,Yes,No,
450,MV - Registration & Insurance,Expense,GST on Expenses,MV - Registration & Insurance,No,No,No,
451,MV - Repair & Maintenance,Expense,GST on Expenses,MV - Repair & Maintenance,No,No,No,
453,Office Expenses,Expense,GST on Expenses,General expenses related to the running of the business office.,No,Yes,Yes,
457,Parking & Tolls,Expense,GST on Expenses,Parking & Tolls,No,Yes,No,
461,Printing & Stationery,Expense,GST on Expenses,Expenses incurred by the entity as a result of printing and stationery,No,Yes,No,
469,Rent,Expense,GST on Expenses,The payment to lease a building or area.,No,No,No,
473,Repairs and Maintenance,Expense,GST on Expenses,Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,No,Yes,No,
477,Wages and Salaries,Expense,BAS Excluded,Payment to employees in exchange for their resources,No,No,No,
478,Superannuation,Expense,BAS Excluded,Superannuation contributions,No,No,No,
485,Subscriptions,Expense,GST on Expenses,"E.g. Magazines, professional bodies.",No,No,No,
489,Telephone & Internet,Expense,GST on Expenses,"Expenditure incurred from any business-related phone calls, phone lines, or internet connections",No,No,No,
493,Travel - National,Expense,GST on Expenses,Expenses incurred from domestic travel which has a business purpose,No,Yes,No,
494,Travel - International,Expense,GST Free Expenses,Expenses incurred from international travel which has a business purpose,No,No,No,
496,Uniforms,Expense,GST on Expenses,Uniforms,No,No,No,
505,Income Tax Expense,Expense,BAS Excluded,A percentage of total earnings paid to the government.,No,No,No,
630,Inventory,Inventory,BAS Excluded,Value of tracked items for resale.,No,No,No,
710,Office Equipment,Fixed Asset,GST on Capital,Office equipment that is owned and controlled by the business,No,Yes,No,
711,Less Accumulated Depreciation on Office Equipment,Fixed Asset,BAS Excluded,The total amount of office equipment cost that has been consumed by the entity (based on the useful life),No,No,No,
720,Computer Equipment,Fixed Asset,GST on Capital,Computer equipment that is owned and controlled by the business,No,Yes,No,
721,Less Accumulated Depreciation on Computer Equipment,Fixed Asset,BAS Excluded,The total amount of computer equipment cost that has been consumed by the business (based on the useful life),No,No,No,
820,GST,GST,BAS Excluded,"The balance in this account represents GST owing to or from the ATO. At the end of the GST period, it is this account that should be used to code against either the 'refunds from' or 'payments to' the ATO that will appear on the bank statement. Xero has been designed to use only one GST account to track GST on income and expenses, so there is no need to add any new GST accounts to Xero.",No,No,No,
970,Owner A Share Capital,Equity,BAS Excluded,The value of shares purchased by the shareholders,No,No,Yes,
981,Dividends,Equity,BAS Excluded,Dividends,No,No,No,
